Episode,Side,Opponent,Result,Reward,P1_WinRate,P2_WinRate,vsRandom_WinRate,Loss,Epsilon
10,Blk (P2),Self-Play,LOSS,0.0114,100.0,28.6,75.0,0.00000,0.2995
20,Red (P1),Pool: gen7_final.pth,WIN ,1.0179,100.0,23.1,66.7,0.00000,0.2990
30,Blk (P2),Random,LOSS,0.0009,78.6,18.8,50.0,0.00000,0.2985
40,Red (P1),Pool: gen7_specialist.pth,WIN ,1.0161,84.2,28.6,63.6,0.00000,0.2980
50,Blk (P2),Random,LOSS,0.0146,81.8,25.0,61.5,0.00000,0.2975
60,Red (P1),Self-Play,WIN ,1.0180,76.7,23.3,57.1,0.00000,0.2970
70,Red (P1),Random,WIN ,1.0169,80.0,22.9,58.8,0.00000,0.2965
80,Blk (P2),Random,LOSS,0.0066,80.0,24.4,57.9,0.00000,0.2960
90,Red (P1),Pool: gen7_midgame.pth,WIN ,1.0334,82.1,23.5,54.2,0.00188,0.2955
100,Red (P1),Random,WIN ,1.0119,76.7,22.8,55.6,0.00539,0.2950
110,Blk (P2),Pool: gen7_final.pth,WIN ,0.9931,80.0,23.3,58.6,0.00408,0.2945
120,Blk (P2),Pool: gen7_final.pth,LOSS,0.0031,79.2,25.4,56.7,0.00372,0.2940
130,Red (P1),Random,LOSS,0.0056,79.3,25.0,56.2,0.00308,0.2935
140,Blk (P2),Pool: gen7_specialist.pth,LOSS,0.0033,80.0,25.0,58.3,0.00303,0.2930
150,Blk (P2),Random,WIN ,1.0144,81.5,27.1,60.0,0.00255,0.2925
160,Blk (P2),Random,LOSS,0.0111,82.4,28.3,59.1,0.00275,0.2920
170,Blk (P2),Pool: gen7_prodigy.pth,LOSS,0.0030,83.8,28.1,60.9,0.00205,0.2915
180,Red (P1),Self-Play,WIN ,1.0327,83.8,27.0,60.4,0.00177,0.2910
190,Blk (P2),Random,WIN ,1.0098,84.5,27.0,60.4,0.00156,0.2905
200,Blk (P2),Random,LOSS,0.0064,84.4,27.0,57.1,0.00176,0.2900
210,Red (P1),Pool: gen7_midgame.pth,LOSS,0.0053,83.3,26.0,57.6,0.00171,0.2895
220,Red (P1),Pool: gen7_midgame.pth,LOSS,0.0051,82.0,28.0,58.7,0.00143,0.2890
230,Blk (P2),Self-Play,LOSS,0.0024,79.0,25.0,57.4,0.00140,0.2885
240,Blk (P2),Random,WIN ,1.0247,81.0,29.0,60.3,0.00148,0.2880
250,Blk (P2),Pool: gen7_final.pth,LOSS,0.0178,81.0,29.0,62.3,0.00148,0.2875
260,Blk (P2),Self-Play,LOSS,0.0021,80.0,26.0,61.5,0.00145,0.2870
270,Blk (P2),Pool: gen7_champion.pth,LOSS,0.0005,78.0,27.0,61.0,0.00148,0.2865
280,Red (P1),Random,WIN ,1.0257,80.0,30.0,63.2,0.00146,0.2860
290,Red (P1),Random,WIN ,1.0178,81.0,32.0,64.4,0.00171,0.2855
300,Blk (P2),Pool: gen7_specialist.pth,LOSS,0.0102,79.0,32.0,64.5,0.00166,0.2850
310,Red (P1),Pool: gen7_champion.pth,WIN ,1.0259,80.0,30.0,64.9,0.00152,0.2845
320,Red (P1),Pool: gen7_midgame.pth,WIN ,0.9933,79.0,31.0,65.7,0.00166,0.2840
330,Red (P1),Self-Play,WIN ,1.0244,80.0,31.0,66.0,0.00162,0.2835
340,Red (P1),Self-Play,LOSS,0.0065,77.0,33.0,66.0,0.00200,0.2830
350,Red (P1),Self-Play,WIN ,1.0255,78.0,30.0,67.0,0.00164,0.2825
360,Blk (P2),Pool: glass_cannon.pth,WIN ,1.0259,78.0,33.0,68.0,0.00173,0.2820
370,Blk (P2),Pool: gen7_midgame.pth,LOSS,0.0018,77.0,34.0,67.0,0.00187,0.2815
380,Red (P1),Random,WIN ,1.0177,74.0,37.0,68.0,0.00195,0.2810
390,Blk (P2),Random,WIN ,1.0178,72.0,38.0,70.0,0.00140,0.2805
400,Blk (P2),Random,WIN ,1.0249,72.0,39.0,72.0,0.00139,0.2800
410,Red (P1),Pool: gen7_final.pth,WIN ,1.0256,71.0,40.0,72.0,0.00145,0.2795
420,Red (P1),Self-Play,LOSS,0.0142,71.0,41.0,73.0,0.00165,0.2790
430,Red (P1),Random,WIN ,1.0182,71.0,42.0,75.0,0.00166,0.2785
440,Red (P1),Self-Play,WIN ,1.0290,71.0,44.0,74.0,0.00161,0.2780
450,Blk (P2),Pool: gen7_prodigy.pth,WIN ,1.0255,74.0,46.0,75.0,0.00174,0.2775
460,Red (P1),Pool: gen7_final.pth,WIN ,1.0333,74.0,46.0,74.0,0.00188,0.2770
470,Red (P1),Pool: gen7_prodigy.pth,WIN ,1.0179,72.0,45.0,75.0,0.00191,0.2765
480,Red (P1),Pool: gen7_prodigy.pth,WIN ,1.0095,74.0,42.0,76.0,0.00193,0.2760
490,Blk (P2),Pool: gen7_specialist.pth,LOSS,0.0246,74.0,43.0,76.0,0.00180,0.2755
500,Red (P1),Pool: gen7_final.pth,WIN ,1.0340,74.0,42.0,76.0,0.00213,0.2750
510,Blk (P2),Self-Play,LOSS,0.0023,72.0,43.0,75.0,0.00260,0.2745
520,Blk (P2),Random,WIN ,1.0305,73.0,43.0,76.0,0.00239,0.2740
530,Red (P1),Pool: gen7_champion.pth,WIN ,1.0129,72.0,43.0,75.0,0.00262,0.2735
540,Red (P1),Pool: gen7_midgame.pth,LOSS,0.0121,72.0,42.0,76.0,0.00305,0.2730
550,Red (P1),Pool: gen7_champion.pth,WIN ,0.8487,71.0,43.0,77.0,0.00346,0.2725
560,Blk (P2),Pool: gen7_final.pth,LOSS,-0.0555,74.0,42.0,76.0,0.00366,0.2720
570,Red (P1),Pool: gen7_specialist.pth,WIN ,0.9819,73.0,41.0,75.0,0.00375,0.2715
580,Blk (P2),Pool: gen7_champion.pth,LOSS,0.0061,72.0,44.0,75.0,0.00454,0.2710
590,Red (P1),Pool: gen7_specialist.pth,WIN ,1.0089,75.0,44.0,76.0,0.00438,0.2705
600,Blk (P2),Pool: glass_cannon.pth,LOSS,0.0012,75.0,44.0,78.0,0.00513,0.2700
610,Red (P1),Self-Play,LOSS,0.0001,74.0,41.0,78.0,0.00464,0.2695
620,Blk (P2),Random,WIN ,1.0261,73.0,41.0,77.0,0.00493,0.2690
630,Blk (P2),Random,WIN ,1.0317,72.0,41.0,78.0,0.00607,0.2685
640,Red (P1),Random,WIN ,0.9959,71.0,42.0,78.0,0.00670,0.2680
650,Blk (P2),Random,WIN ,1.0164,71.0,43.0,79.0,0.00688,0.2675
660,Blk (P2),Self-Play,WIN ,1.0107,72.0,44.0,79.0,0.00685,0.2670
670,Blk (P2),Random,WIN ,1.0175,72.0,46.0,79.0,0.00860,0.2665
680,Blk (P2),Self-Play,WIN ,1.0131,72.0,48.0,80.0,0.00970,0.2660
690,Blk (P2),Self-Play,LOSS,0.0171,71.0,48.0,80.0,0.01022,0.2655
700,Red (P1),Pool: gen7_prodigy.pth,WIN ,1.0181,72.0,50.0,81.0,0.01120,0.2650
710,Red (P1),Pool: gen7_specialist.pth,WIN ,1.0177,73.0,49.0,81.0,0.01076,0.2645
720,Blk (P2),Random,LOSS,0.0138,73.0,48.0,80.0,0.00993,0.2640
730,Red (P1),Pool: gen7_specialist.pth,WIN ,1.0229,71.0,48.0,81.0,0.01290,0.2635
740,Red (P1),Pool: gen7_midgame.pth,WIN ,1.0246,74.0,49.0,81.0,0.01007,0.2630
750,Red (P1),Self-Play,WIN ,1.0174,72.0,48.0,81.0,0.01383,0.2625
760,Blk (P2),Pool: gen7_prodigy.pth,WIN ,1.0337,75.0,50.0,82.0,0.01662,0.2620
770,Red (P1),Pool: gen7_midgame.pth,LOSS,0.0008,73.0,49.0,82.0,0.01673,0.2615
780,Blk (P2),Self-Play,LOSS,0.0017,73.0,51.0,82.0,0.01687,0.2610
790,Blk (P2),Random,WIN ,1.0336,73.0,52.0,81.0,0.02114,0.2605
800,Red (P1),Random,WIN ,1.0148,71.0,51.0,82.0,0.01905,0.2600
810,Blk (P2),Self-Play,WIN ,1.0257,74.0,52.0,83.0,0.02181,0.2595
820,Red (P1),Random,LOSS,0.0126,74.0,52.0,82.0,0.01840,0.2590
830,Red (P1),Pool: gen7_prodigy.pth,WIN ,0.5444,75.0,54.0,82.0,0.02231,0.2585
840,Red (P1),Self-Play,LOSS,0.0106,73.0,54.0,83.0,0.02004,0.2580
850,Blk (P2),Pool: gen7_midgame.pth,LOSS,0.0032,72.0,58.0,83.0,0.02670,0.2575
860,Blk (P2),Random,WIN ,1.0256,72.0,58.0,87.0,0.02343,0.2570
870,Blk (P2),Pool: glass_cannon.pth,WIN ,1.0153,70.0,61.0,88.0,0.03320,0.2565
880,Red (P1),Random,WIN ,1.0329,72.0,59.0,88.0,0.03501,0.2560
890,Red (P1),Self-Play,LOSS,-0.0012,70.0,57.0,89.0,0.03388,0.2555
900,Red (P1),Self-Play,LOSS,0.0027,69.0,56.0,90.0,0.03194,0.2550
910,Red (P1),Pool: gen7_midgame.pth,WIN ,1.0258,69.0,56.0,90.0,0.03437,0.2545
920,Blk (P2),Pool: gen7_midgame.pth,WIN ,0.9582,68.0,59.0,89.0,0.03663,0.2540
930,Red (P1),Self-Play,WIN ,1.0256,69.0,60.0,89.0,0.03747,0.2535
940,Red (P1),Self-Play,LOSS,0.0165,66.0,62.0,90.0,0.04744,0.2530
950,Red (P1),Random,LOSS,0.0105,61.0,61.0,89.0,0.04584,0.2525
960,Red (P1),Pool: gen7_champion.pth,WIN ,1.0176,62.0,61.0,88.0,0.04630,0.2520
970,Red (P1),Self-Play,LOSS,0.0213,62.0,63.0,88.0,0.05604,0.2515
980,Blk (P2),Pool: gen7_specialist.pth,LOSS,0.0153,62.0,63.0,88.0,0.05667,0.2510
990,Blk (P2),Self-Play,LOSS,0.0012,62.0,60.0,87.0,0.05793,0.2505
1000,Blk (P2),Pool: glass_cannon.pth,WIN ,1.0128,62.0,59.0,87.0,0.06243,0.2500
1010,Blk (P2),Pool: glass_cannon.pth,WIN ,1.0229,62.0,59.0,86.0,0.06104,0.2495
1020,Blk (P2),Pool: gen7_final.pth,LOSS,-0.0053,64.0,61.0,86.0,0.06999,0.2490
1030,Blk (P2),Pool: gen7_specialist.pth,LOSS,-0.0034,64.0,58.0,86.0,0.06833,0.2485
1040,Blk (P2),Pool: gen7_specialist.pth,LOSS,0.0065,65.0,56.0,86.0,0.07217,0.2480
1050,Red (P1),Pool: gen7_midgame.pth,LOSS,0.0056,65.0,57.0,86.0,0.07071,0.2475
1060,Blk (P2),Random,WIN ,1.0180,65.0,54.0,85.0,0.07877,0.2470
1070,Red (P1),Random,WIN ,1.0319,65.0,54.0,85.0,0.07787,0.2465
1080,Blk (P2),Self-Play,WIN ,1.0214,67.0,51.0,85.0,0.07502,0.2460
1090,Red (P1),Random,WIN ,1.0235,66.0,51.0,85.0,0.08003,0.2455
1100,Blk (P2),Pool: gen7_prodigy.pth,LOSS,0.0176,67.0,50.0,85.0,0.08031,0.2450
1110,Red (P1),Pool: glass_cannon.pth,LOSS,0.0075,68.0,50.0,84.0,0.08842,0.2445
1120,Red (P1),Pool: gen7_prodigy.pth,WIN ,1.0111,67.0,52.0,84.0,0.09471,0.2440
1130,Blk (P2),Self-Play,LOSS,-0.0011,69.0,50.0,84.0,0.08454,0.2435
1140,Red (P1),Pool: gen7_specialist.pth,WIN ,1.0168,72.0,50.0,83.0,0.09700,0.2430
1150,Blk (P2),Random,WIN ,1.0174,75.0,50.0,84.0,0.09314,0.2425
1160,Red (P1),Random,WIN ,1.0209,73.0,51.0,83.0,0.11147,0.2420
1170,Blk (P2),Pool: glass_cannon.pth,WIN ,1.0080,73.0,50.0,81.0,0.09668,0.2415
1180,Blk (P2),Self-Play,WIN ,1.0258,73.0,48.0,81.0,0.10973,0.2410
1190,Blk (P2),Random,WIN ,1.0163,73.0,48.0,82.0,0.11466,0.2405
