Episode,Mode,Side,Opponent,Result,Reward,P1_WinRate,P2_WinRate,vsRandom_WinRate,Loss,Epsilon,LR,MaxQ,AvgQ
5010,[NORMAL],Blk (P2),Self-Play,LOSS,-0.0300,33.3,14.3,0.0,0.00000,0.0500,2.00e-07,0.00,0.00
5020,[ENDGAME],Blk (P2),Pool: gen8_mirror.pth,LOSS,-0.0150,25.0,25.0,50.0,0.00000,0.0500,2.00e-07,0.00,0.00
5030,[ENDGAME],Blk (P2),Pool: gen10_titan.pth,LOSS,-0.0200,33.3,28.6,71.4,0.00000,0.0500,2.00e-07,0.00,0.00
5040,[NORMAL],Red (P1),Pool: gen8_mirror.pth,WIN ,0.9910,45.5,31.0,66.7,0.00000,0.0500,2.00e-07,0.00,0.00
5050,[NORMAL],Blk (P2),Random,WIN ,1.0010,31.2,35.3,75.0,0.00000,0.0500,2.00e-07,0.00,0.00
5060,[NORMAL],Red (P1),Random,WIN ,0.9920,25.0,33.3,76.9,0.00000,0.0500,2.00e-07,0.00,0.00
5070,[NORMAL],Red (P1),Pool: gen9_champion.pth,LOSS,-0.0250,24.1,29.3,76.9,0.00000,0.0500,2.00e-07,0.00,0.00
5080,[ENDGAME],Blk (P2),Self-Play,LOSS,-0.0150,30.3,31.9,81.2,0.00000,0.0500,2.00e-07,0.00,0.00
5090,[ENDGAME],Red (P1),Pool: gen10_titan.pth,WIN ,1.0000,31.7,30.6,81.2,0.00000,0.0500,2.00e-07,0.00,0.00
5100,[ENDGAME],Red (P1),Pool: gen8_titan.pth,LOSS,-0.0150,31.9,30.2,82.4,0.00000,0.0500,2.00e-07,0.00,0.00
5110,[NORMAL],Red (P1),Self-Play,WIN ,0.9880,32.7,29.3,78.9,0.00000,0.0500,2.00e-07,0.00,0.00
5120,[NORMAL],Red (P1),Pool: gen8_titan.pth,LOSS,-0.0270,31.0,27.4,80.0,0.00000,0.0500,2.00e-07,0.00,0.00
5130,[ENDGAME],Blk (P2),Pool: gen9_titan.pth,LOSS,-0.0410,30.6,25.0,81.0,0.00000,0.0500,2.00e-07,0.00,0.00
5140,[NORMAL],Red (P1),Pool: gen9_champion.pth,LOSS,-0.0230,32.4,25.0,81.0,0.00000,0.0500,2.00e-07,0.00,0.00
5150,[NORMAL],Red (P1),Self-Play,LOSS,-0.0310,32.4,25.0,82.6,0.00000,0.0500,2.00e-07,0.00,0.00
5160,[NORMAL],Blk (P2),Self-Play,WIN ,0.9930,32.1,28.0,80.8,0.36334,0.0500,2.00e-07,0.00,0.00
5010,[NORMAL],Blk (P2),Self-Play,LOSS,-0.0700,100.0,12.5,50.0,0.00000,0.0500,2.00e-07,0.00,0.00
5020,[NORMAL],Blk (P2),Pool: gen9_titan.pth,LOSS,-0.0160,80.0,20.0,50.0,0.00000,0.0500,2.00e-07,0.00,0.00
5030,[ENDGAME],Blk (P2),Pool: gen9_titan.pth,LOSS,-0.0770,72.7,21.1,66.7,0.00000,0.0500,2.00e-07,0.00,0.00
5040,[ENDGAME],Blk (P2),Self-Play,LOSS,-0.1980,64.7,17.4,75.0,0.00000,0.0500,2.00e-07,0.00,0.00
5010,[NORMAL],Red (P1),Self-Play,LOSS,-0.2840,33.3,28.6,100.0,0.00000,0.0500,2.00e-07,0.00,0.00
5020,[NORMAL],Blk (P2),Random,WIN ,0.9960,50.0,28.6,100.0,0.00000,0.0500,2.00e-07,0.00,0.00
5030,[NORMAL],Red (P1),Pool: gen10_titan.pth,LOSS,-0.2820,41.7,27.8,100.0,0.00000,0.0500,2.00e-07,0.00,0.00
