config_name,mcts_simulations,env_max_moves,no_progress_plies,draw_penalty,mcts_draw_value,iteration,timestamp,p1_wins,p2_wins,draws,p1_win_rate,p2_win_rate,draw_rate,avg_game_length,total_loss,value_loss,policy_loss,buffer_size,elapsed_time_s
quick_test,50,200,80,-0.1,-0.1,1,2025-12-31 01:25:55,2,7,1,0.2,0.7,0.1,67.7,4.808142185211182,1.6031047821044921,4.567676448822022,677,36.04036211967468
quick_test,50,200,80,-0.1,-0.1,2,2025-12-31 01:26:41,1,5,4,0.1,0.5,0.4,83.6,3.9731590270996096,1.439812469482422,3.757187080383301,1513,46.00659203529358
quick_test,50,200,80,-0.1,-0.1,3,2025-12-31 01:27:43,1,2,7,0.1,0.2,0.7,115.4,2.6525686264038084,1.145390558242798,2.4807600498199465,2000,62.01069355010986
quick_test,50,200,80,-0.1,-0.1,4,2025-12-31 01:28:28,1,6,3,0.1,0.6,0.3,74.0,2.5205875873565673,1.1235624551773071,2.3520532131195067,2000,44.06096577644348
quick_test,50,200,80,-0.1,-0.1,5,2025-12-31 01:29:30,2,2,6,0.2,0.2,0.6,100.5,2.2690032720565796,1.0851874589920043,2.1062251806259153,2000,62.16425967216492
quick_test,50,200,80,-0.1,-0.1,6,2025-12-31 01:30:29,2,2,6,0.2,0.2,0.6,99.7,1.991458034515381,1.0343905925750732,1.8362994194030762,2000,58.861655950546265
quick_test,50,200,80,-0.1,-0.1,7,2025-12-31 01:31:22,2,4,4,0.2,0.4,0.4,78.2,1.808428978919983,1.1350312232971191,1.638174295425415,2000,52.95215368270874
quick_test,50,200,80,-0.1,-0.1,8,2025-12-31 01:32:36,2,2,6,0.2,0.2,0.6,99.5,1.7777816534042359,1.0940468072891236,1.6136746168136598,2000,73.94283103942871
quick_test,50,200,80,-0.1,-0.1,9,2025-12-31 01:33:24,3,3,4,0.3,0.3,0.4,80.1,1.7602996587753297,1.1934218406677246,1.581286358833313,2000,48.13718914985657
quick_test,50,200,80,-0.1,-0.1,10,2025-12-31 01:34:38,2,1,7,0.2,0.1,0.7,109.5,1.435400700569153,1.0928593635559083,1.2714717864990235,2000,74.56726717948914
