config_name,mcts_simulations,env_max_moves,no_progress_plies,draw_penalty,mcts_draw_value,iteration,timestamp,p1_wins,p2_wins,draws,p1_win_rate,p2_win_rate,draw_rate,avg_game_length,move_mapping_failures,total_loss,value_loss,policy_loss,buffer_size,elapsed_time_s
standard,300,200,80,-0.1,-0.1,1,2025-12-31 02:35:58,1,5,6,0.08333333333333333,0.4166666666666667,0.5,114.91666666666667,0,3.0111420154571533,0.8333634853363037,2.8861374378204347,1379,375.4194281101227
standard,300,200,80,-0.1,-0.1,2,2025-12-31 02:42:40,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,113.5,0,1.914837658405304,0.6176989167928696,1.8221828103065492,2741,401.3853418827057
standard,300,200,80,-0.1,-0.1,3,2025-12-31 02:47:59,1,5,6,0.08333333333333333,0.4166666666666667,0.5,89.66666666666667,0,1.315623676776886,0.32282027453184126,1.2672006428241729,3817,319.577321767807
standard,300,200,80,-0.1,-0.1,4,2025-12-31 02:55:11,3,3,6,0.25,0.25,0.5,115.66666666666667,0,1.0069840848445892,0.2412479117512703,0.9707969009876252,5205,431.61930561065674
standard,300,200,80,-0.1,-0.1,5,2025-12-31 03:03:10,2,2,8,0.16666666666666666,0.16666666666666666,0.6666666666666666,125.08333333333333,0,0.8418648660182952,0.19619455486536025,0.8124356806278229,6706,479.40270948410034
standard,300,200,80,-0.1,-0.1,6,2025-12-31 04:14:08,1,6,5,0.08333333333333333,0.5,0.4166666666666667,102.41666666666667,0,0.7266538500785827,0.17797603011131286,0.6999574542045593,7935,500.48935198783875
standard,300,200,80,-0.1,-0.1,7,2025-12-31 04:25:52,1,2,9,0.08333333333333333,0.16666666666666666,0.75,132.5,0,0.6655749559402466,0.14552031308412552,0.6437469065189362,9525,704.0159287452698
standard,300,200,80,-0.1,-0.1,8,2025-12-31 04:33:40,3,1,8,0.25,0.08333333333333333,0.6666666666666666,109.25,0,0.6250333428382874,0.13475411459803582,0.6048202276229858,10836,467.9837472438812
standard,300,200,80,-0.1,-0.1,9,2025-12-31 04:42:39,2,3,7,0.16666666666666666,0.25,0.5833333333333334,113.83333333333333,0,0.5844952046871186,0.1295977897942066,0.5650555312633514,12202,539.2216753959656
standard,300,200,80,-0.1,-0.1,10,2025-12-31 04:52:19,2,0,10,0.16666666666666666,0.0,0.8333333333333334,121.08333333333333,0,0.577294135093689,0.11980588883161544,0.5593232452869416,13655,579.6970465183258
standard,300,200,80,-0.1,-0.1,11,2025-12-31 05:23:09,1,1,10,0.08333333333333333,0.08333333333333333,0.8333333333333334,136.75,0,0.5501064419746399,0.11254141628742217,0.5332252293825149,15296,692.9104783535004
