Episode,Side,Opponent,Result,Reward,Steps,P1_WinRate,P2_WinRate,vsRandom_WinRate,Loss,Epsilon,LR,MaxQ,AvgQ
10,Red (P1),Self-Play,WIN ,1.0140,43,33.3,75.0,66.7,0.00000,0.3993,5.00e-06,0.00,0.00
20,Blk (P2),Pool: gen9_champion.pth,WIN ,0.9870,77,33.3,54.5,66.7,0.00000,0.3986,5.00e-06,0.00,0.00
30,Red (P1),Random,LOSS,-0.0280,84,23.1,47.1,66.7,0.00000,0.3979,5.00e-06,0.00,0.00
40,Blk (P2),Random,WIN ,1.0110,53,30.0,50.0,71.4,0.00000,0.3972,5.00e-06,0.00,0.00
50,Red (P1),Random,WIN ,1.0220,49,37.5,50.0,77.8,0.00000,0.3965,5.00e-06,0.00,0.00
60,Red (P1),Self-Play,WIN ,0.9360,135,43.3,50.0,72.7,0.00000,0.3958,5.00e-06,0.00,0.00
70,Red (P1),Pool: gen8_titan.pth,LOSS,-0.0170,52,48.6,48.5,76.0,0.00000,0.3951,5.00e-06,0.00,0.00
80,Blk (P2),Random,WIN ,1.0140,42,45.2,47.4,72.4,0.00000,0.3944,5.00e-06,0.00,0.00
90,Red (P1),Random,WIN ,1.0310,47,46.9,46.3,68.6,0.00000,0.3937,5.00e-06,0.00,0.00
100,Blk (P2),Random,WIN ,1.0190,45,48.1,45.7,68.3,0.00000,0.3930,5.00e-06,0.00,0.00
110,Blk (P2),Self-Play,LOSS,-0.0130,49,48.3,42.0,64.6,0.00000,0.3923,5.00e-06,0.00,0.00
120,Blk (P2),Pool: gen9_titan.pth,LOSS,-0.0360,106,47.0,40.7,61.1,0.00000,0.3916,5.00e-06,0.00,0.00
130,Blk (P2),Self-Play,WIN ,1.0070,71,44.4,41.4,57.6,0.00000,0.3909,5.00e-06,0.00,0.00
140,Red (P1),Random,LOSS,-0.0220,50,46.1,40.6,58.5,0.01286,0.3902,5.00e-06,0.00,0.00
150,Red (P1),Self-Play,LOSS,-0.0230,45,44.6,40.3,57.4,0.00793,0.3895,5.00e-06,0.67,0.15
160,Red (P1),Pool: gen9_titan.pth,WIN ,1.0240,46,45.3,39.2,56.3,0.00519,0.3888,5.00e-06,0.00,0.00
170,Red (P1),Random,LOSS,-0.0080,50,44.9,38.3,52.6,0.00371,0.3881,5.00e-06,0.00,0.00
180,Red (P1),Random,WIN ,0.9470,117,45.7,38.4,54.3,0.00265,0.3874,5.00e-06,0.00,0.00
190,Red (P1),Random,WIN ,0.9970,81,46.9,39.1,55.1,0.00254,0.3867,5.00e-06,0.00,0.00
200,Red (P1),Pool: gen8_titan.pth,LOSS,-0.0270,48,47.0,39.4,55.9,0.00212,0.3860,5.00e-06,0.93,0.22
210,Blk (P2),Self-Play,WIN ,1.0140,43,48.0,38.0,56.2,0.00184,0.3853,5.00e-06,0.00,0.00
220,Blk (P2),Pool: gen9_titan.pth,LOSS,-0.0100,39,48.0,37.0,55.0,0.00166,0.3846,5.00e-06,0.00,0.00
230,Red (P1),Self-Play,WIN ,1.0160,40,51.0,36.0,55.0,0.00146,0.3839,5.00e-06,0.00,0.00
240,Blk (P2),Random,WIN ,0.9750,103,49.0,37.0,55.0,0.00134,0.3832,5.00e-06,0.00,0.00
250,Blk (P2),Random,WIN ,1.0210,57,48.0,36.0,53.0,0.00121,0.3825,5.00e-06,1.13,0.30
260,Blk (P2),Random,WIN ,0.9740,83,46.0,34.0,51.0,0.00115,0.3818,5.00e-06,0.00,0.00
270,Red (P1),Self-Play,LOSS,0.0000,43,45.0,34.0,50.0,0.00099,0.3811,5.00e-06,0.00,0.00
280,Red (P1),Random,WIN ,0.9680,89,48.0,33.0,48.0,0.00107,0.3804,5.00e-06,0.00,0.00
290,Blk (P2),Random,LOSS,-0.0050,40,46.0,34.0,48.0,0.00095,0.3797,5.00e-06,0.00,0.00
