Episode,Side,Opponent,Result,Reward,Steps,P1_WinRate,P2_WinRate,vsRandom_WinRate,Loss,Epsilon,LR,MaxQ,AvgQ
10,Red (P1),Random,LOSS,0.3979,56,16.7,0.0,11.1,0.00000,0.4988,1.00e-05,0.00,0.00
20,Red (P1),Random,WIN ,1.5489,41,36.4,22.2,31.6,0.00000,0.4976,1.00e-05,0.00,0.00
30,Red (P1),Random,WIN ,1.4990,40,37.5,21.4,33.3,0.00000,0.4964,1.00e-05,0.00,0.00
40,Red (P1),Random,LOSS,0.1980,48,40.0,35.0,41.7,0.00000,0.4952,1.00e-05,0.00,0.00
50,Blk (P2),Random,WIN ,1.5481,57,44.4,39.1,45.7,0.00000,0.4940,1.00e-05,0.00,0.00
60,Blk (P2),Self-Play,LOSS,0.2485,40,40.6,39.3,43.6,0.00000,0.4928,1.00e-05,0.00,0.00
70,Red (P1),Random,LOSS,0.5458,104,46.2,41.9,47.7,0.00000,0.4916,1.00e-05,0.00,0.00
80,Red (P1),Random,LOSS,0.4948,122,45.5,47.2,49.3,0.00000,0.4904,1.00e-05,0.00,0.00
90,Red (P1),Random,WIN ,1.5489,41,45.8,52.4,52.4,0.00000,0.4892,1.00e-05,0.00,0.00
100,Blk (P2),Random,LOSS,0.4477,62,42.3,50.0,48.9,0.00000,0.4880,1.00e-05,0.00,0.00
110,Red (P1),Random,WIN ,1.5491,35,44.8,48.1,49.0,0.00000,0.4868,1.00e-05,0.00,0.00
120,Blk (P2),Random,LOSS,0.2980,50,45.2,44.8,50.0,0.00000,0.4856,1.00e-05,0.00,0.00
130,Blk (P2),Random,WIN ,1.5494,33,44.1,46.8,50.0,0.00000,0.4844,1.00e-05,0.00,0.00
140,Blk (P2),Random,LOSS,0.3971,72,42.5,46.3,47.0,0.00000,0.4832,1.00e-05,0.00,0.00
150,Blk (P2),Random,WIN ,1.5447,129,42.9,45.2,48.0,0.00000,0.4820,1.00e-05,0.00,0.00
160,Red (P1),Random,WIN ,1.5488,45,42.7,44.9,46.0,0.01392,0.4808,1.00e-05,0.00,0.00
170,Red (P1),Random,WIN ,1.4989,40,40.9,46.3,45.0,0.00874,0.4796,1.00e-05,0.00,0.00
180,Red (P1),Random,LOSS,0.1483,41,39.8,48.3,42.0,0.00652,0.4784,1.00e-05,0.00,0.00
190,Blk (P2),Random,DRAW,0.5408,204,41.1,50.5,45.0,0.00520,0.4772,1.00e-05,0.00,0.00
200,Blk (P2),Random,LOSS,0.3984,46,42.0,49.0,44.0,0.00530,0.4760,2.00e-07,0.91,0.28
210,Blk (P2),Random,LOSS,0.1985,38,43.0,49.0,45.0,0.00449,0.4748,2.00e-07,0.00,0.00
220,Blk (P2),Random,WIN ,1.4974,70,44.0,51.0,46.0,0.00482,0.4736,2.00e-07,0.00,0.00
230,Blk (P2),Random,WIN ,1.5474,75,45.0,50.0,47.0,0.00470,0.4724,2.00e-07,0.00,0.00
240,Blk (P2),Random,LOSS,0.4970,78,46.0,48.0,48.0,0.00503,0.4712,2.00e-07,0.00,0.00
250,Blk (P2),Random,WIN ,1.5470,79,48.0,49.0,52.0,0.00469,0.4700,2.00e-07,1.01,0.35
260,Blk (P2),Random,LOSS,0.3982,52,47.0,48.0,52.0,0.00517,0.4688,2.00e-07,0.00,0.00
270,Red (P1),Random,LOSS,0.3481,51,46.0,46.0,52.0,0.00495,0.4676,2.00e-07,0.00,0.00
280,Red (P1),Random,WIN ,1.5452,115,46.0,45.0,51.0,0.00478,0.4664,2.00e-07,0.00,0.00
290,Red (P1),Random,LOSS,0.0988,28,42.0,47.0,46.0,0.00475,0.4652,2.00e-07,0.00,0.00
300,Red (P1),Random,WIN ,1.4991,30,43.0,47.0,48.0,0.00497,0.4640,2.00e-07,1.13,0.45
310,Red (P1),Random,LOSS,0.2484,40,44.0,48.0,47.0,0.00493,0.4628,2.00e-07,0.00,0.00
320,Blk (P2),Random,LOSS,0.1483,40,44.0,48.0,48.0,0.00493,0.4616,2.00e-07,0.00,0.00
330,Red (P1),Random,LOSS,0.2981,48,43.0,48.0,46.0,0.00518,0.4604,2.00e-07,0.00,0.00
340,Red (P1),Random,LOSS,0.1982,44,45.0,49.0,47.0,0.00488,0.4592,2.00e-07,0.00,0.00
350,Blk (P2),Random,WIN ,1.5463,91,45.0,50.0,46.0,0.00505,0.4580,2.00e-07,1.25,0.55
360,Red (P1),Random,LOSS,0.4484,50,45.0,49.0,42.0,0.00487,0.4568,2.00e-07,0.00,0.00
370,Blk (P2),Random,WIN ,1.5449,123,49.0,49.0,46.0,0.00478,0.4556,2.00e-07,0.00,0.00
380,Red (P1),Random,WIN ,1.5457,105,50.0,46.0,46.0,0.00524,0.4544,2.00e-07,0.00,0.00
390,Red (P1),Random,LOSS,0.2479,50,47.0,44.0,44.0,0.00522,0.4532,2.00e-07,0.00,0.00
400,Blk (P2),Random,WIN ,1.4985,49,44.0,48.0,46.0,0.00464,0.4520,2.00e-07,1.39,0.66
410,Blk (P2),Random,LOSS,0.4483,52,46.0,49.0,49.0,0.00495,0.4508,2.00e-07,0.00,0.00
420,Red (P1),Random,WIN ,1.4484,50,46.0,50.0,51.0,0.00500,0.4496,2.00e-07,0.00,0.00
430,Blk (P2),Random,WIN ,1.5437,143,46.0,52.0,52.0,0.00465,0.4484,2.00e-07,0.00,0.00
440,Red (P1),Random,WIN ,1.5461,97,45.0,53.0,55.0,0.00502,0.4472,2.00e-07,0.00,0.00
450,Red (P1),Random,LOSS,0.3966,82,45.0,54.0,53.0,0.00498,0.4460,2.00e-07,1.50,0.77
460,Blk (P2),Random,LOSS,0.4446,122,46.0,50.0,53.0,0.00488,0.4448,2.00e-07,0.00,0.00
470,Blk (P2),Random,LOSS,0.5458,100,49.0,50.0,54.0,0.00467,0.4436,2.00e-07,0.00,0.00
480,Blk (P2),Random,LOSS,0.3488,38,50.0,50.0,54.0,0.00452,0.4424,2.00e-07,0.00,0.00
490,Red (P1),Random,WIN ,1.5487,45,53.0,52.0,56.0,0.00539,0.4412,2.00e-07,0.00,0.00
500,Blk (P2),Random,LOSS,0.3978,58,52.0,50.0,56.0,0.00430,0.4400,2.00e-07,1.61,0.85
510,Blk (P2),Random,LOSS,0.3970,74,54.0,53.0,59.0,0.00457,0.4388,2.00e-07,0.00,0.00
520,Red (P1),Random,LOSS,0.4472,74,54.0,54.0,58.0,0.00547,0.4376,2.00e-07,0.00,0.00
530,Blk (P2),Random,WIN ,1.5457,103,55.0,53.0,55.0,0.00489,0.4364,2.00e-07,0.00,0.00
540,Blk (P2),Random,WIN ,1.4986,45,54.0,51.0,53.0,0.00507,0.4352,2.00e-07,0.00,0.00
550,Blk (P2),Random,WIN ,1.5484,49,55.0,52.0,52.0,0.00514,0.4340,2.00e-07,1.73,0.95
560,Blk (P2),Random,LOSS,0.4967,84,55.0,51.0,52.0,0.00433,0.4328,2.00e-07,0.00,0.00
570,Blk (P2),Random,WIN ,1.5462,95,54.0,53.0,53.0,0.00509,0.4316,2.00e-07,0.00,0.00
580,Red (P1),Random,WIN ,1.4991,34,54.0,50.0,52.0,0.00499,0.4304,2.00e-07,0.00,0.00
590,Blk (P2),Random,LOSS,0.5471,76,56.0,48.0,50.0,0.00539,0.4292,2.00e-07,0.00,0.00
600,Blk (P2),Self-Play,LOSS,0.0984,36,59.0,46.0,51.0,0.00503,0.4280,5.00e-08,1.85,1.04
610,Red (P1),Random,WIN ,1.5450,121,59.0,46.0,50.0,0.00586,0.4268,5.00e-08,0.00,0.00
620,Blk (P2),Random,LOSS,0.4458,98,58.0,46.0,48.0,0.00559,0.4256,5.00e-08,0.00,0.00
630,Blk (P2),Random,LOSS,0.4461,94,57.0,44.0,45.0,0.00594,0.4244,5.00e-08,0.00,0.00
640,Red (P1),Random,LOSS,0.3458,96,55.0,44.0,48.0,0.00660,0.4232,5.00e-08,0.00,0.00
650,Red (P1),Random,LOSS,0.2973,66,55.0,45.0,50.0,0.00626,0.4220,5.00e-08,1.93,1.11
660,Blk (P2),Random,WIN ,1.5451,121,55.0,46.0,50.0,0.00581,0.4208,5.00e-08,0.00,0.00
670,Red (P1),Random,LOSS,0.1985,36,53.0,48.0,50.0,0.00617,0.4196,5.00e-08,0.00,0.00
680,Blk (P2),Random,LOSS,0.5481,60,51.0,47.0,50.0,0.00590,0.4184,5.00e-08,0.00,0.00
690,Blk (P2),Random,WIN ,1.5451,117,52.0,47.0,50.0,0.00546,0.4172,5.00e-08,0.00,0.00
700,Blk (P2),Random,WIN ,1.5478,67,50.0,46.0,49.0,0.00619,0.4160,5.00e-08,2.00,1.17
