iteration,az_wins,d3qn_wins,draws,win_rate,draw_rate,loss_rate,az_p1_wins,az_p2_wins
1,0,0,20,0.0,1.0,0.0,0,0
2,0,20,0,0.0,0.0,1.0,0,0
3,0,10,10,0.0,0.5,0.5,0,0
4,0,10,10,0.0,0.5,0.5,0,0
5,10,10,0,0.5,0.0,0.5,10,0
6,10,0,10,0.5,0.5,0.0,10,0
7,10,0,10,0.5,0.5,0.0,0,10
8,0,0,20,0.0,1.0,0.0,0,0
9,10,10,0,0.5,0.0,0.5,10,0
10,0,0,20,0.0,1.0,0.0,0,0
11,0,10,10,0.0,0.5,0.5,0,0
12,0,10,10,0.0,0.5,0.5,0,0
13,10,10,0,0.5,0.0,0.5,0,10
14,10,0,10,0.5,0.5,0.0,10,0
15,10,0,10,0.5,0.5,0.0,10,0
16,10,0,10,0.5,0.5,0.0,10,0
17,0,0,20,0.0,1.0,0.0,0,0
18,0,20,0,0.0,0.0,1.0,0,0
19,10,0,10,0.5,0.5,0.0,10,0
20,10,0,10,0.5,0.5,0.0,0,10
21,10,0,10,0.5,0.5,0.0,10,0
22,10,0,10,0.5,0.5,0.0,10,0
23,20,0,0,1.0,0.0,0.0,10,10
24,10,0,10,0.5,0.5,0.0,10,0
25,20,0,0,1.0,0.0,0.0,10,10
26,10,0,10,0.5,0.5,0.0,10,0
27,20,0,0,1.0,0.0,0.0,10,10
28,10,0,10,0.5,0.5,0.0,10,0
29,20,0,0,1.0,0.0,0.0,10,10
30,10,0,10,0.5,0.5,0.0,10,0
31,0,0,20,0.0,1.0,0.0,0,0
32,0,0,20,0.0,1.0,0.0,0,0
33,0,0,20,0.0,1.0,0.0,0,0
34,0,0,20,0.0,1.0,0.0,0,0
35,0,0,20,0.0,1.0,0.0,0,0
36,20,0,0,1.0,0.0,0.0,10,10
37,0,0,20,0.0,1.0,0.0,0,0
38,10,0,10,0.5,0.5,0.0,10,0
39,0,0,20,0.0,1.0,0.0,0,0
40,10,0,10,0.5,0.5,0.0,10,0
41,0,10,10,0.0,0.5,0.5,0,0
42,20,0,0,1.0,0.0,0.0,10,10
43,10,0,10,0.5,0.5,0.0,10,0
44,10,0,10,0.5,0.5,0.0,0,10
45,20,0,0,1.0,0.0,0.0,10,10
46,0,10,10,0.0,0.5,0.5,0,0
47,10,0,10,0.5,0.5,0.0,10,0
48,10,0,10,0.5,0.5,0.0,0,10
49,0,0,20,0.0,1.0,0.0,0,0
50,10,0,10,0.5,0.5,0.0,0,10
51,10,10,0,0.5,0.0,0.5,0,10
52,0,10,10,0.0,0.5,0.5,0,0
53,10,0,10,0.5,0.5,0.0,0,10
54,20,0,0,1.0,0.0,0.0,10,10
55,10,0,10,0.5,0.5,0.0,0,10
56,0,10,10,0.0,0.5,0.5,0,0
57,10,0,10,0.5,0.5,0.0,10,0
58,10,0,10,0.5,0.5,0.0,10,0
59,10,0,10,0.5,0.5,0.0,10,0
60,0,0,20,0.0,1.0,0.0,0,0
61,0,0,20,0.0,1.0,0.0,0,0
62,10,0,10,0.5,0.5,0.0,10,0
63,10,0,10,0.5,0.5,0.0,0,10
64,0,0,20,0.0,1.0,0.0,0,0
65,0,0,20,0.0,1.0,0.0,0,0
66,0,0,20,0.0,1.0,0.0,0,0
67,10,0,10,0.5,0.5,0.0,10,0
68,0,0,20,0.0,1.0,0.0,0,0
69,0,0,20,0.0,1.0,0.0,0,0
70,0,10,10,0.0,0.5,0.5,0,0
71,0,0,20,0.0,1.0,0.0,0,0
72,0,0,20,0.0,1.0,0.0,0,0
73,0,0,20,0.0,1.0,0.0,0,0
74,10,0,10,0.5,0.5,0.0,10,0
75,10,0,10,0.5,0.5,0.0,10,0
76,20,0,0,1.0,0.0,0.0,10,10
77,10,0,10,0.5,0.5,0.0,10,0
78,10,0,10,0.5,0.5,0.0,10,0
79,10,0,10,0.5,0.5,0.0,0,10
80,0,0,20,0.0,1.0,0.0,0,0
81,0,0,20,0.0,1.0,0.0,0,0
82,0,0,20,0.0,1.0,0.0,0,0
83,0,0,20,0.0,1.0,0.0,0,0
84,10,10,0,0.5,0.0,0.5,0,10
85,20,0,0,1.0,0.0,0.0,10,10
86,10,0,10,0.5,0.5,0.0,10,0
87,10,0,10,0.5,0.5,0.0,10,0
88,10,0,10,0.5,0.5,0.0,10,0
89,10,0,10,0.5,0.5,0.0,0,10
90,10,0,10,0.5,0.5,0.0,0,10
91,0,0,20,0.0,1.0,0.0,0,0
92,0,0,20,0.0,1.0,0.0,0,0
93,20,0,0,1.0,0.0,0.0,10,10
94,10,0,10,0.5,0.5,0.0,0,10
95,0,0,20,0.0,1.0,0.0,0,0
96,10,0,10,0.5,0.5,0.0,10,0
97,10,10,0,0.5,0.0,0.5,0,10
98,0,0,20,0.0,1.0,0.0,0,0
99,0,0,20,0.0,1.0,0.0,0,0
100,0,10,10,0.0,0.5,0.5,0,0
101,0,0,20,0.0,1.0,0.0,0,0
102,10,0,10,0.5,0.5,0.0,10,0
103,10,0,10,0.5,0.5,0.0,10,0
104,0,0,20,0.0,1.0,0.0,0,0
105,0,0,20,0.0,1.0,0.0,0,0
106,20,0,0,1.0,0.0,0.0,10,10
107,10,0,10,0.5,0.5,0.0,10,0
108,0,0,20,0.0,1.0,0.0,0,0
109,10,0,10,0.5,0.5,0.0,10,0
110,20,0,0,1.0,0.0,0.0,10,10
111,10,0,10,0.5,0.5,0.0,10,0
112,0,0,20,0.0,1.0,0.0,0,0
113,0,10,10,0.0,0.5,0.5,0,0
114,10,10,0,0.5,0.0,0.5,0,10
115,0,0,20,0.0,1.0,0.0,0,0
116,10,0,10,0.5,0.5,0.0,10,0
117,10,0,10,0.5,0.5,0.0,0,10
118,20,0,0,1.0,0.0,0.0,10,10
119,10,0,10,0.5,0.5,0.0,10,0
120,0,0,20,0.0,1.0,0.0,0,0
121,10,0,10,0.5,0.5,0.0,0,10
122,10,0,10,0.5,0.5,0.0,10,0
123,10,0,10,0.5,0.5,0.0,0,10
124,10,0,10,0.5,0.5,0.0,0,10
125,20,0,0,1.0,0.0,0.0,10,10
126,10,0,10,0.5,0.5,0.0,0,10
127,10,0,10,0.5,0.5,0.0,10,0
128,10,0,10,0.5,0.5,0.0,10,0
129,10,0,10,0.5,0.5,0.0,10,0
130,10,0,10,0.5,0.5,0.0,10,0
131,10,0,10,0.5,0.5,0.0,0,10
132,0,0,20,0.0,1.0,0.0,0,0
133,0,0,20,0.0,1.0,0.0,0,0
134,10,0,10,0.5,0.5,0.0,0,10
135,20,0,0,1.0,0.0,0.0,10,10
136,0,0,20,0.0,1.0,0.0,0,0
137,10,10,0,0.5,0.0,0.5,0,10
138,0,0,20,0.0,1.0,0.0,0,0
139,20,0,0,1.0,0.0,0.0,10,10
140,0,0,20,0.0,1.0,0.0,0,0
141,10,0,10,0.5,0.5,0.0,10,0
142,20,0,0,1.0,0.0,0.0,10,10
143,20,0,0,1.0,0.0,0.0,10,10
144,20,0,0,1.0,0.0,0.0,10,10
145,10,0,10,0.5,0.5,0.0,10,0
146,10,0,10,0.5,0.5,0.0,10,0
147,10,0,10,0.5,0.5,0.0,10,0
148,10,0,10,0.5,0.5,0.0,0,10
149,0,0,20,0.0,1.0,0.0,0,0
150,20,0,0,1.0,0.0,0.0,10,10
151,0,0,20,0.0,1.0,0.0,0,0
152,20,0,0,1.0,0.0,0.0,10,10
153,10,0,10,0.5,0.5,0.0,0,10
154,10,0,10,0.5,0.5,0.0,10,0
155,0,0,20,0.0,1.0,0.0,0,0
156,10,0,10,0.5,0.5,0.0,0,10
157,10,0,10,0.5,0.5,0.0,0,10
158,10,0,10,0.5,0.5,0.0,0,10
159,20,0,0,1.0,0.0,0.0,10,10
160,10,0,10,0.5,0.5,0.0,0,10
161,10,0,10,0.5,0.5,0.0,0,10
162,10,0,10,0.5,0.5,0.0,0,10
163,20,0,0,1.0,0.0,0.0,10,10
164,10,0,10,0.5,0.5,0.0,0,10
