episode,reward,epsilon,replay,moves,loss,average_reward_50
1,60.0,0.9996485,74,74,,60.0
2,108.0,0.9993920000000001,128,54,,84.0
3,119.0,0.9991877499999999,171,43,,95.66666666666667
4,-138.0,0.99898825,213,42,,37.25
5,-110.0,0.99874125,265,52,,7.8
6,114.0,0.99856075,303,38,,25.5
7,-60.0,0.99806675,407,104,,13.285714285714286
8,-128.0,0.99786725,449,42,,-4.375
9,-91.0,0.9975774999999999,510,61,,-14.0
10,-107.0,0.99724975,579,69,,-23.3
11,-88.0,0.99687925,657,78,,-29.181818181818183
12,79.0,0.996352,768,111,,-20.166666666666668
13,-108.0,0.996162,808,40,,-26.923076923076923
14,116.0,0.9959435,854,46,,-16.714285714285715
15,-78.0,0.995611,924,70,,-20.8
16,77.0,0.99512175,1027,103,,-14.6875
17,127.0,0.9949175,1070,43,,-6.352941176470588
18,89.0,0.9945612500000001,1145,75,,-1.0555555555555556
19,-70.0,0.9941052499999999,1241,96,,-4.684210526315789
20,77.0,0.9938345,1298,57,,-0.6
21,118.0,0.9936349999999999,1340,42,,5.0476190476190474
22,88.0,0.9933974999999999,1390,50,,8.818181818181818
23,69.0,0.99278475,1519,129,,11.434782608695652
24,-83.0,0.992419,1596,77,,7.5
25,69.0,0.9919297499999999,1699,103,,9.96
26,-118.0,0.99171125,1745,46,,5.038461538461538
27,109.0,0.9914784999999999,1794,49,,8.88888888888889
28,-119.0,0.99124575,1843,49,,4.321428571428571
29,88.0,0.99086575,1923,80,,7.206896551724138
30,-80.0,0.99053325,1993,70,,4.3
31,99.0,0.9902719999999999,2048,55,,7.354838709677419
32,109.0,0.99004875,2095,47,,10.53125
33,-71.0,0.989645,2180,85,,8.06060606060606
34,-117.0,0.98945025,2221,41,,4.382352941176471
35,-137.0,0.9892650000000001,2260,39,,0.34285714285714286
36,116.0,0.989037,2308,48,,3.5555555555555554
37,-80.0,0.9884004999999999,2442,134,,1.2972972972972974
38,61.0,0.98805375,2515,73,,2.8684210526315788
39,-109.0,0.9878115,2566,51,,0.0
40,-137.0,0.98760725,2609,43,,-3.425
41,-61.0,0.987213,2692,83,,-4.829268292682927
42,-71.0,0.98682825,2773,81,,-6.404761904761905
43,118.0,0.98657175,2827,54,,-3.511627906976744
44,-69.0,0.9861964999999999,2906,79,,-5.0
45,-78.0,0.9857119999999999,3008,102,,-6.622222222222222
46,-99.0,0.98547925,3057,49,,-8.630434782608695
47,-137.0,0.985294,3096,39,,-11.361702127659575
48,-80.0,0.9848665,3186,90,,-12.791666666666666
49,-158.0,0.9846385,3234,48,,-15.755102040816327
50,-63.0,0.98431075,3303,69,,-16.7
51,-78.0,0.9837122500000001,3429,126,,-19.46
52,79.0,0.98328,3520,91,,-20.04
53,-70.0,0.9828525,3610,90,,-23.82
54,-89.0,0.9825057500000001,3683,73,,-22.84
55,99.0,0.981988,3792,109,,-18.66
56,-71.0,0.98166025,3861,69,,-22.36
57,-70.0,0.9811567499999999,3967,106,,-22.56
58,99.0,0.9808765,4026,59,,-18.02
59,88.0,0.980506,4104,78,,-14.44
60,108.0,0.9802875,4150,46,,-10.14
61,98.0,0.9800595000000001,4198,48,,-6.42
62,126.0,0.9798790000000001,4236,38,,-5.48
63,-69.0,0.97919975,4379,143,,-4.7
64,59.0,0.9784349999999999,4540,161,,-5.84
65,-110.0,0.978207,4588,48,,-6.48
66,-90.0,0.9778745,4658,70,,-9.82
67,68.0,0.9774754999999999,4742,84,,-11.0
68,99.0,0.9772047500000001,4799,57,,-10.8
69,-99.0,0.976972,4848,49,,-11.38
70,156.0,0.976801,4884,36,,-9.8
71,-107.0,0.97657775,4931,47,,-14.3
72,80.0,0.97594125,5065,134,2.289912223815918,-14.46
73,-79.0,0.975528,5152,87,0.5607476234436035,-17.42
74,-119.0,0.97530475,5199,47,0.3157415986061096,-18.14
75,59.0,0.974388,5392,193,1.6176276206970215,-18.34
76,107.0,0.97417425,5437,45,2.614276170730591,-13.84
77,118.0,0.97394625,5485,48,2.819469928741455,-13.66
78,-78.0,0.9737182499999999,5533,48,3.7224297523498535,-12.84
79,-78.0,0.97340475,5599,66,3.1711559295654297,-16.16
80,-97.0,0.97302,5680,81,3.6528217792510986,-16.5
81,109.0,0.97268275,5751,71,2.8787035942077637,-16.3
82,-120.0,0.97244525,5801,50,3.7142629623413086,-20.88
83,-100.0,0.9721792499999999,5857,56,3.5926167964935303,-21.46
84,-62.0,0.97156175,5987,130,4.169560432434082,-20.36
85,68.0,0.97085875,6135,148,2.2921829223632812,-16.26
86,86.0,0.9704977499999999,6211,76,3.251587390899658,-16.86
