episode,ddqn_wins,random_wins,draws,win_rate
25,0,0,10,0.0
25,2,1,7,0.2
50,1,0,9,0.1
75,1,0,9,0.1
25,2,1,7,0.2
50,1,0,9,0.1
75,2,0,8,0.2
100,1,1,8,0.1
125,0,1,9,0.0
150,0,0,10,0.0
175,0,2,8,0.0
200,1,1,8,0.1
225,0,2,8,0.0
250,2,0,8,0.2
275,2,0,8,0.2
300,0,2,8,0.0
325,1,2,7,0.1
350,1,1,8,0.1
375,0,1,9,0.0
400,0,2,8,0.0
425,1,3,6,0.1
450,0,0,10,0.0
475,1,2,7,0.1
500,2,0,8,0.2
525,0,0,10,0.0
550,1,0,9,0.1
575,0,0,10,0.0
600,1,3,6,0.1
625,0,1,9,0.0
650,0,2,8,0.0
675,0,1,9,0.0
700,1,1,8,0.1
725,2,0,8,0.2
750,3,1,6,0.3
775,0,0,10,0.0
800,1,1,8,0.1
825,1,1,8,0.1
850,1,0,9,0.1
875,2,2,6,0.2
900,0,0,10,0.0
925,2,3,5,0.2
950,0,1,9,0.0
975,2,2,6,0.2
1000,1,1,8,0.1
1025,0,0,10,0.0
1050,0,1,9,0.0
1075,2,0,8,0.2
1100,1,2,7,0.1
1125,2,1,7,0.2
1150,0,0,10,0.0
1175,0,1,9,0.0
1200,1,1,8,0.1
1225,2,0,8,0.2
1250,2,1,7,0.2
1275,1,2,7,0.1
1300,1,1,8,0.1
1325,1,0,9,0.1
1350,2,0,8,0.2
1375,1,0,9,0.1
1400,1,1,8,0.1
25,7,3,0,0.7
50,7,3,0,0.7
75,4,6,0,0.4
100,4,5,1,0.4
125,4,6,0,0.4
150,3,5,2,0.3
175,5,5,0,0.5
200,4,6,0,0.4
225,4,6,0,0.4
250,4,6,0,0.4
275,5,5,0,0.5
300,5,5,0,0.5
325,4,6,0,0.4
350,5,5,0,0.5
375,4,6,0,0.4
400,5,5,0,0.5
425,4,6,0,0.4
450,5,5,0,0.5
475,5,5,0,0.5
500,5,5,0,0.5
525,5,5,0,0.5
550,5,5,0,0.5
575,5,5,0,0.5
600,5,5,0,0.5
625,5,5,0,0.5
650,5,5,0,0.5
675,5,5,0,0.5
700,5,5,0,0.5
725,5,5,0,0.5
750,5,5,0,0.5
775,4,5,1,0.4
800,5,5,0,0.5
825,5,5,0,0.5
850,5,5,0,0.5
875,5,5,0,0.5
900,5,5,0,0.5
925,5,5,0,0.5
950,5,5,0,0.5
975,5,5,0,0.5
1000,5,5,0,0.5
1025,5,5,0,0.5
1050,5,5,0,0.5
1075,5,5,0,0.5
1100,5,5,0,0.5
1125,5,5,0,0.5
1150,5,5,0,0.5
1175,5,5,0,0.5
1200,5,5,0,0.5
1225,5,5,0,0.5
1250,5,5,0,0.5
1275,5,5,0,0.5
1300,5,5,0,0.5
1325,5,5,0,0.5
1350,5,5,0,0.5
1375,5,5,0,0.5
1400,4,6,0,0.4
1425,5,5,0,0.5
1450,5,5,0,0.5
1475,5,5,0,0.5
1500,5,5,0,0.5
1525,5,5,0,0.5
1550,5,5,0,0.5
1575,5,5,0,0.5
1600,5,5,0,0.5
1625,5,5,0,0.5
1650,5,5,0,0.5
1675,5,5,0,0.5
1700,5,5,0,0.5
1725,5,5,0,0.5
1750,5,5,0,0.5
1775,5,5,0,0.5
1800,5,5,0,0.5
1825,5,5,0,0.5
1850,5,5,0,0.5
1875,5,5,0,0.5
1900,5,5,0,0.5
1925,5,5,0,0.5
1950,5,5,0,0.5
1975,5,5,0,0.5
2000,5,5,0,0.5
2025,5,5,0,0.5
2050,6,4,0,0.6
2075,5,5,0,0.5
2100,5,5,0,0.5
2125,5,5,0,0.5
2150,5,5,0,0.5
2175,5,5,0,0.5
2200,5,5,0,0.5
2225,5,5,0,0.5
2250,5,5,0,0.5
2275,5,5,0,0.5
2300,5,5,0,0.5
2325,5,5,0,0.5
2350,5,5,0,0.5
2375,5,5,0,0.5
2400,5,5,0,0.5
2425,5,5,0,0.5
2450,5,5,0,0.5
2475,5,5,0,0.5
2500,5,5,0,0.5
2525,5,5,0,0.5
2550,5,5,0,0.5
2575,5,5,0,0.5
2600,5,5,0,0.5
2625,5,5,0,0.5
2650,5,5,0,0.5
2675,5,5,0,0.5
2700,5,5,0,0.5
2725,5,5,0,0.5
2750,5,5,0,0.5
2775,5,5,0,0.5
2800,5,5,0,0.5
2825,5,5,0,0.5
2850,5,5,0,0.5
2875,5,5,0,0.5
2900,5,5,0,0.5
2925,5,5,0,0.5
2950,5,5,0,0.5
2975,5,5,0,0.5
3000,5,5,0,0.5
3025,5,5,0,0.5
