iteration,timestamp,p1_wins,p2_wins,draws,p1_win_rate,p2_win_rate,draw_rate,avg_game_length,buffer_size,total_loss,value_loss,policy_loss,elapsed_time_s
1,2026-01-03 03:22:36,3,9,8,0.15,0.45,0.4,80.1,1602,4.055183243751526,0.3407768547534943,3.969989037513733,99.15008425712585
2,2026-01-03 03:24:53,3,5,12,0.15,0.25,0.6,89.05,3383,1.936227059364319,0.19554662704467773,1.8873404145240784,137.33397507667542
3,2026-01-03 03:27:13,1,5,14,0.05,0.25,0.7,107.0,5523,1.4021044492721557,0.1685415655374527,1.3599690556526185,139.9633502960205
4,2026-01-03 03:29:51,2,3,15,0.1,0.15,0.75,104.4,7611,1.0439177930355072,0.13838064596056937,1.0093226075172423,157.3895571231842
5,2026-01-03 03:32:09,2,5,13,0.1,0.25,0.65,90.65,9424,0.9581300914287567,0.12218673080205918,0.9275834083557128,138.46943187713623
6,2026-01-03 03:35:06,4,4,12,0.2,0.2,0.6,90.1,11226,0.9233007311820984,0.1207516685128212,0.8931128203868866,176.5123691558838
7,2026-01-03 03:38:25,1,3,16,0.05,0.15,0.8,116.7,13560,0.869076532125473,0.1144755318760872,0.8404576361179352,198.99706077575684
8,2026-01-03 03:41:42,4,4,12,0.2,0.2,0.6,85.2,15264,0.8468502938747406,0.11112326830625534,0.8190694689750672,196.5842776298523
9,2026-01-03 03:45:08,0,4,16,0.0,0.2,0.8,104.05,17345,0.803451269865036,0.1075272649526596,0.7765694499015808,206.05969214439392
10,2026-01-03 03:48:27,2,2,16,0.1,0.1,0.8,104.35,19432,0.7733673214912414,0.09669349566102028,0.7491939425468445,199.04154062271118
11,2026-01-03 03:50:52,3,6,11,0.15,0.3,0.55,82.45,21081,0.77555330991745,0.10056411772966385,0.7504122793674469,143.31070804595947
12,2026-01-03 03:54:11,1,0,19,0.05,0.0,0.95,116.35,23408,0.6881362497806549,0.08377045020461082,0.6671936213970184,198.59469747543335
13,2026-01-03 03:57:25,2,3,15,0.1,0.15,0.75,96.7,25342,0.695879727602005,0.0809616506099701,0.6756393253803253,194.72738432884216
14,2026-01-03 04:00:37,1,4,15,0.05,0.2,0.75,102.5,27392,0.7310521304607391,0.0864719532430172,0.7094341456890106,191.8225016593933
15,2026-01-03 04:04:05,3,2,15,0.15,0.1,0.75,104.1,29474,0.7167001664638519,0.08312360346317291,0.6959192633628846,208.0058150291443
16,2026-01-03 04:07:37,1,1,18,0.05,0.05,0.9,116.5,31804,0.70207479596138,0.09221749976277352,0.6790204226970673,209.84509086608887
17,2026-01-03 04:10:49,3,3,14,0.15,0.15,0.7,101.0,33824,0.6850202739238739,0.08775531873106956,0.6630814433097839,191.733008146286
18,2026-01-03 04:13:58,5,2,13,0.25,0.1,0.65,97.65,35777,0.6689567565917969,0.0788403533399105,0.6492466568946839,188.80009865760803
19,2026-01-03 04:17:12,1,3,16,0.05,0.15,0.8,106.55,37908,0.6857497334480286,0.08191906437277793,0.6652699708938599,194.46627593040466
20,2026-01-03 04:20:18,3,4,13,0.15,0.2,0.65,90.8,39724,0.6756192088127136,0.08095219135284423,0.655381155014038,185.3303563594818
21,2026-01-03 04:23:45,2,1,17,0.1,0.05,0.85,109.6,41916,0.6620327949523925,0.07427111193537712,0.6434650242328643,204.02695846557617
22,2026-01-03 04:26:52,1,7,12,0.05,0.35,0.6,88.9,43694,0.6789921998977662,0.08407518938183785,0.6579734027385712,187.3173086643219
23,2026-01-03 04:29:59,3,3,14,0.15,0.15,0.7,96.15,45617,0.6960196673870087,0.08313397243618965,0.675236177444458,186.61450672149658
24,2026-01-03 04:33:10,2,5,13,0.1,0.25,0.65,89.85,47414,0.6579059481620788,0.0785390168428421,0.6382712006568909,190.89906525611877
25,2026-01-03 04:36:17,4,3,13,0.2,0.15,0.65,91.85,49251,0.6561269491910935,0.0805272951722145,0.6359951257705688,187.59562373161316
26,2026-01-03 04:39:38,0,3,17,0.0,0.15,0.85,107.0,51391,0.6342193484306335,0.08538275361061096,0.6128736436367035,196.38880395889282
27,2026-01-03 04:42:52,4,2,14,0.2,0.1,0.7,99.6,53383,0.5951708555221558,0.07467429824173451,0.5765022754669189,194.31013703346252
28,2026-01-03 04:46:02,3,1,16,0.15,0.05,0.8,109.7,55577,0.6542117893695831,0.0791251040995121,0.6344305068254471,189.793550491333
29,2026-01-03 04:49:58,3,1,16,0.15,0.05,0.8,108.1,57739,0.634618079662323,0.08846346586942673,0.6125022113323212,236.15720796585083
30,2026-01-03 04:53:29,2,1,17,0.1,0.05,0.85,112.25,59984,0.649507361650467,0.07862917892634869,0.6298500716686248,211.2408504486084
31,2026-01-03 04:56:40,4,1,15,0.2,0.05,0.75,100.3,61990,0.5949693202972413,0.07392184510827064,0.57648885846138,186.00102996826172
32,2026-01-03 04:59:47,6,2,12,0.3,0.1,0.6,85.55,63701,0.6447366118431092,0.08260829821228981,0.6240845382213592,187.10618829727173
33,2026-01-03 05:03:48,0,2,18,0.0,0.1,0.9,113.05,65962,0.6293921887874603,0.08149796612560749,0.6090176999568939,240.81276869773865
34,2026-01-03 05:07:40,2,2,16,0.1,0.1,0.8,106.75,68097,0.6373468399047851,0.07712842971086502,0.6180647253990174,232.0967197418213
35,2026-01-03 05:11:33,4,0,16,0.2,0.0,0.8,104.5,70187,0.649014163017273,0.07663980796933174,0.6298542082309723,233.40114283561707
36,2026-01-03 05:14:42,4,2,14,0.2,0.1,0.7,99.2,72171,0.642971134185791,0.07447528056800365,0.6243523180484771,183.5750720500946
37,2026-01-03 05:18:02,4,4,12,0.2,0.2,0.6,90.0,73971,0.6404290199279785,0.08444425538182258,0.6193179547786712,199.91749215126038
38,2026-01-03 05:21:36,2,2,16,0.1,0.1,0.8,102.85,75000,0.6297787547111511,0.0823750387877226,0.6091849863529205,214.1519923210144
39,2026-01-03 05:25:09,1,3,16,0.05,0.15,0.8,108.9,75000,0.6322692453861236,0.07347868867218495,0.613899576663971,213.26668429374695
40,2026-01-03 05:28:49,0,1,19,0.0,0.05,0.95,122.0,75000,0.6448870599269867,0.07172957733273506,0.6269546627998352,219.79470705986023
41,2026-01-03 05:32:42,0,0,20,0.0,0.0,1.0,129.65,75000,0.6044239103794098,0.06838389597833157,0.5873279333114624,226.58861017227173
42,2026-01-03 05:36:47,2,1,17,0.1,0.05,0.85,108.3,75000,0.6246587127447129,0.07415242753922939,0.6061206042766571,245.60187458992004
43,2026-01-03 05:40:20,1,4,15,0.05,0.2,0.75,105.0,75000,0.5959424614906311,0.07069756351411342,0.5782680749893189,212.38632345199585
44,2026-01-03 05:43:44,1,3,16,0.05,0.15,0.8,107.1,75000,0.5720846712589264,0.068530298396945,0.5549520969390869,204.7207579612732
45,2026-01-03 05:47:13,5,4,11,0.25,0.2,0.55,86.85,75000,0.5933957695960999,0.07204548493027688,0.5753843903541564,208.23961853981018
46,2026-01-03 05:50:01,4,5,11,0.2,0.25,0.55,86.1,75000,0.6364998400211335,0.07412084899842739,0.6179696321487427,162.29674458503723
47,2026-01-03 05:53:30,2,2,16,0.1,0.1,0.8,101.75,75000,0.565961879491806,0.06044637113809585,0.5508502900600434,209.8034200668335
48,2026-01-03 05:57:32,0,2,18,0.0,0.1,0.9,120.8,75000,0.5914717793464661,0.06685277447104454,0.5747586011886596,241.25594472885132
